  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
2,     P-168,   2017/01/20 16:26:54,           1-01,1,-20.606,-158.266,18517,-1,1,                                        ,                                        ,                 H2O,1484955120,0.184,0.354,68.29,0,0.001,1.596,80.963,40.974,0.967,58.528,0.869,-0.161,0,0,0,49.5,1,1,2, DGK Test1,0
3,     P-168,   2017/01/20 16:35:52,           1-01,2,-20.65,-159.73,18526,-1,1,                                        ,                                        ,                 H2O,1484955657,0.194,0.387,63.347,-0.001,0.002,1.501,80.976,40.65,0.987,59.668,0.868,-0.072,0,0,0,49.625,1,1,2, DGK Test1,0
4,     P-168,   2017/01/20 16:44:51,           1-01,3,-20.727,-160.284,18786,-1,1,                                        ,                                        ,                 H2O,1484956194,0.198,0.39,64.798,-0.001,0.002,1.519,82.086,41.716,1.013,59.842,0.867,-0.06,0,0,0,49.688,1,1,2, DGK Test1,0
5,     P-168,   2017/01/20 16:53:47,           1-01,4,-20.721,-160.52,18520,0,1,                                        ,                                        ,                 H2O,1484956730,0.202,0.396,72.041,-0.002,0.002,1.687,80.724,41.303,0.978,58.601,0.867,-0.087,0,0,0,49.5,1,1,2, DGK Test1,0
6,     P-168,   2017/01/20 17:02:43,           1-01,5,-20.684,-160.222,19724,0,1,                                        ,                                        ,                 H2O,1484957266,0.209,0.363,66.893,0,0.002,1.566,86.828,43.457,1.072,63.976,0.87,0.107,0,0,0,49.375,1,1,2, DGK Test1,0
7,     P-168,   2017/01/20 17:11:40,           1-01,6,-20.697,-160.501,18950,0,1,                                        ,                                        ,                 H2O,1484957803,0.188,0.408,71.799,-0.001,0.003,1.691,82.933,42.208,0.987,59.278,0.87,-0.216,0,0,0,49.375,1,1,2, DGK Test1,0
8,     P-168,   2017/01/20 17:20:35,           1-01,7,-20.714,-160.564,18513,0,1,                                        ,                                        ,                 H2O,1484958340,0.192,0.363,68.784,0,0.001,1.611,80.538,41.448,0.999,58.441,0.868,-0.071,0,0,0,49.25,1,1,2, DGK Test1,0
9,     P-168,   2017/01/20 17:29:31,           1-01,8,-20.711,-160.494,19079,0,1,                                        ,                                        ,                 H2O,1484958875,0.184,0.4,66.187,-0.001,0,1.558,83.332,42.286,1.069,61.882,0.869,0.118,0,0,0,49.25,1,1,2, DGK Test1,0
10,     P-168,   2017/01/20 17:38:28,           1-01,9,-20.717,-160.582,18638,0,1,                                        ,                                        ,                 H2O,1484959412,0.198,0.366,65.103,0,0.001,1.535,81.308,41.508,0.967,58.578,0.869,-0.162,0,0,0,49.188,1,1,2, DGK Test1,0
11,     P-168,   2017/01/20 17:47:24,           1-01,10,-20.678,-160.618,18638,0,1,                                        ,                                        ,                 H2O,1484959949,0.196,0.4,70.814,-0.001,0.002,1.672,81.4,41.296,0.983,58.761,0.868,-0.174,0,0,0,49.188,1,1,2, DGK Test1,0
12,     P-168,   2017/01/20 17:56:21,           1-01,11,-20.687,-160.613,18693,0,1,                                        ,                                        ,                 H2O,1484960486,0.195,0.396,69.456,-0.001,0.003,1.629,81.656,41.517,0.986,58.537,0.868,-0.271,0,0,0,49.188,1,1,2, DGK Test1,0
13,     P-168,   2017/01/20 18:05:18,           1-01,12,-20.69,-160.659,18674,0,1,                                        ,                                        ,                 H2O,1484961022,0.202,0.355,63.686,0,0.002,1.512,81.449,41.647,0.979,58.622,0.867,-0.267,0,0,0,49.188,1,1,2, DGK Test1,0
14,     P-168,   2017/01/20 18:14:13,           1-01,13,-20.701,-160.799,18604,0,1,                                        ,                                        ,                 H2O,1484961559,0.193,0.399,63.608,-0.001,0.001,1.503,81.153,41.16,1.001,59.005,0.868,-0.192,0,0,0,49.188,1,1,2, DGK Test1,0
15,     P-168,   2017/01/20 18:23:10,           1-01,14,-20.685,-160.669,18648,0,1,                                        ,                                        ,                 H2O,1484962095,0.2,0.378,69.242,-0.001,0.002,1.632,81.413,41.216,0.987,58.836,0.869,-0.154,0,0,0,49.188,1,1,2, DGK Test1,0
16,     P-168,   2017/01/20 18:32:05,           1-01,15,-20.71,-160.721,18661,0,1,                                        ,                                        ,                 H2O,1484962631,0.189,0.365,62.421,-0.001,0,1.482,81.471,41.113,0.999,59.318,0.868,-0.152,0,0,0,49.188,1,1,2, DGK Test1,0
17,     P-168,   2017/01/20 18:41:02,           1-01,16,-20.755,-160.898,18665,0,1,                                        ,                                        ,                 H2O,1484963167,0.188,0.39,63.731,-0.001,0.001,1.499,81.196,41.31,1.038,60.531,0.868,0.075,0,0,0,49.188,1,1,2, DGK Test1,0
