  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
2,     P-217,   2017/01/25 10:08:54,           1-29,1,-20.569,-160.306,17683,-1,1,                                        ,                                        ,                 H2O,1485364436,0.184,0.381,37.107,0,-0.001,0.884,78.194,35.04,0.953,58.087,0.866,-0.723,0,0,0,46.625,1,29,2, DGK Test1,0
3,     P-217,   2017/01/25 10:17:49,           1-29,2,-20.637,-161.335,17941,-1,1,                                        ,                                        ,                 H2O,1485364970,0.201,0.386,38.637,-0.001,-0.002,0.92,79.534,35.38,0.987,59.205,0.866,-0.77,0,0,0,46.562,1,29,2, DGK Test1,0
4,     P-217,   2017/01/25 10:26:44,           1-29,3,-20.652,-161.563,18104,-1,1,                                        ,                                        ,                 H2O,1485365505,0.196,0.388,40.006,-0.001,0,0.958,80.471,35.5,0.988,59.856,0.867,-0.774,0,0,0,46.562,1,29,2, DGK Test1,0
5,     P-217,   2017/01/25 10:35:40,           1-29,4,-20.635,-161.577,18122,0,1,                                        ,                                        ,                 H2O,1485366041,0.189,0.345,39.941,0,0,0.951,80.569,35.914,0.973,58.536,0.865,-1.056,0,0,0,46.625,1,29,2, DGK Test1,0
6,     P-217,   2017/01/25 10:44:36,           1-29,5,-20.655,-161.524,18146,0,1,                                        ,                                        ,                 H2O,1485366576,0.194,0.36,40.116,0,0,0.951,80.751,35.947,0.957,58.17,0.865,-1.028,0,0,0,46.625,1,29,2, DGK Test1,0
7,     P-217,   2017/01/25 10:53:31,           1-29,6,-20.683,-161.489,17844,0,1,                                        ,                                        ,                 H2O,1485367111,0.182,0.41,40.843,-0.001,0,0.976,78.767,35.26,0.982,60.007,0.87,-0.601,0,0,0,47.438,1,29,2, DGK Test1,0
8,     P-217,   2017/01/25 11:02:26,           1-29,7,-20.632,-161.558,17808,0,1,                                        ,                                        ,                 H2O,1485367647,0.184,0.412,41.621,0,0,0.989,79.086,35.712,0.916,55.293,0.863,-1.258,0,0,0,47.562,1,29,2, DGK Test1,0
9,     P-217,   2017/01/25 11:11:21,           1-29,8,-20.626,-161.453,17919,0,1,                                        ,                                        ,                 H2O,1485368183,0.192,0.332,43.071,-0.001,0,1.026,79.421,35.632,0.939,58.023,0.863,-0.962,0,0,0,45.375,1,29,2, DGK Test1,0
10,     P-217,   2017/01/25 11:20:17,           1-29,9,-20.667,-161.374,18004,0,1,                                        ,                                        ,                 H2O,1485368719,0.196,0.373,43.318,-0.001,0,1.027,79.738,35.405,1.001,59.919,0.861,-0.735,0,0,0,44.812,1,29,2, DGK Test1,0
11,     P-217,   2017/01/25 11:29:14,           1-29,10,-20.681,-161.367,17872,0,1,                                        ,                                        ,                 H2O,1485369255,0.208,0.405,43.57,-0.001,0.002,1.036,79.041,35.314,0.968,59.056,0.864,-0.721,0,0,0,44.625,1,29,2, DGK Test1,0
12,     P-217,   2017/01/25 11:38:09,           1-29,11,-20.655,-161.409,17714,0,1,                                        ,                                        ,                 H2O,1485369791,0.186,0.374,43.301,-0.001,0,1.032,78.208,35.016,0.97,58.805,0.862,-0.735,0,0,0,44.562,1,29,2, DGK Test1,0
13,     P-217,   2017/01/25 11:47:05,           1-29,12,-20.679,-161.256,18008,0,1,                                        ,                                        ,                 H2O,1485370327,0.19,0.404,45.666,0,0,1.087,79.802,35.356,0.969,59.94,0.863,-0.699,0,0,0,45.75,1,29,2, DGK Test1,0
14,     P-217,   2017/01/25 11:56:00,           1-29,13,-20.682,-161.423,17963,0,1,                                        ,                                        ,                 H2O,1485370863,0.197,0.384,43.005,0,0.001,1.024,79.456,35.676,0.977,59.093,0.863,-0.729,0,0,0,45.062,1,29,2, DGK Test1,0
