  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-167,   2017/01/20 16:17:57,         Ink-01,       1,       -15.859,      -121.875,         18538,      -1,    1,                                        ,                                        ,                 H2O, 1484954583.33,         0.203,         0.942,        62.757,        -0.001,         0.019,         1.486,        81.171,        41.495,         0.977,        58.875,         0.867,        -0.217,       -0.0003,       -0.0003,    0,        49.562,       Ink,       1,       1,Picarro Rinse,       0
     2,     P-168,   2017/01/20 16:26:54,           1-01,       1,       -20.606,      -158.266,         18517,      -1,    1,                                        ,                                        ,                 H2O, 1484955119.92,         0.184,         0.354,        68.290,        -0.000,         0.001,         1.596,        80.963,        40.974,         0.967,        58.528,         0.869,        -0.161,        0.0000,        0.0000,    0,        49.500,         1,       1,       2, DGK Test1,       0
     3,     P-168,   2017/01/20 16:35:52,           1-01,       2,       -20.650,      -159.730,         18526,      -1,    1,                                        ,                                        ,                 H2O, 1484955657.45,         0.194,         0.387,        63.347,        -0.001,         0.002,         1.501,        80.976,        40.650,         0.987,        59.668,         0.868,        -0.072,       -0.0000,       -0.0000,    0,        49.625,         1,       1,       2, DGK Test1,       0
     4,     P-168,   2017/01/20 16:44:51,           1-01,       3,       -20.727,      -160.284,         18786,      -1,    1,                                        ,                                        ,                 H2O, 1484956193.84,         0.198,         0.390,        64.798,        -0.001,         0.002,         1.519,        82.086,        41.716,         1.013,        59.842,         0.867,        -0.060,       -0.0000,       -0.0000,    0,        49.688,         1,       1,       2, DGK Test1,       0
     5,     P-168,   2017/01/20 16:53:47,           1-01,       4,       -20.721,      -160.520,         18520,       0,    1,                                        ,                                        ,                 H2O, 1484956729.78,         0.202,         0.396,        72.041,        -0.002,         0.002,         1.687,        80.724,        41.303,         0.978,        58.601,         0.867,        -0.087,        0.0000,        0.0000,    0,        49.500,         1,       1,       2, DGK Test1,       0
     6,     P-168,   2017/01/20 17:02:43,           1-01,       5,       -20.684,      -160.222,         19724,       0,    1,                                        ,                                        ,                 H2O, 1484957266.46,         0.209,         0.363,        66.893,        -0.000,         0.002,         1.566,        86.828,        43.457,         1.072,        63.976,         0.870,         0.107,       -0.0000,       -0.0000,    0,        49.375,         1,       1,       2, DGK Test1,       0
     7,     P-168,   2017/01/20 17:11:40,           1-01,       6,       -20.697,      -160.501,         18950,       0,    1,                                        ,                                        ,                 H2O, 1484957803.22,         0.188,         0.408,        71.799,        -0.001,         0.003,         1.691,        82.933,        42.208,         0.987,        59.278,         0.870,        -0.216,        0.0000,        0.0000,    0,        49.375,         1,       1,       2, DGK Test1,       0
     8,     P-168,   2017/01/20 17:20:35,           1-01,       7,       -20.714,      -160.564,         18513,       0,    1,                                        ,                                        ,                 H2O, 1484958339.52,         0.192,         0.363,        68.784,        -0.000,         0.001,         1.611,        80.538,        41.448,         0.999,        58.441,         0.868,        -0.071,       -0.0000,       -0.0000,    0,        49.250,         1,       1,       2, DGK Test1,       0
     9,     P-168,   2017/01/20 17:29:31,           1-01,       8,       -20.711,      -160.494,         19079,       0,    1,                                        ,                                        ,                 H2O, 1484958874.73,         0.184,         0.400,        66.187,        -0.001,        -0.000,         1.558,        83.332,        42.286,         1.069,        61.882,         0.869,         0.118,       -0.0000,       -0.0000,    0,        49.250,         1,       1,       2, DGK Test1,       0
    10,     P-168,   2017/01/20 17:38:28,           1-01,       9,       -20.717,      -160.582,         18638,       0,    1,                                        ,                                        ,                 H2O, 1484959411.79,         0.198,         0.366,        65.103,        -0.000,         0.001,         1.535,        81.308,        41.508,         0.967,        58.578,         0.869,        -0.162,       -0.0000,       -0.0000,    0,        49.188,         1,       1,       2, DGK Test1,       0
    11,     P-168,   2017/01/20 17:47:24,           1-01,      10,       -20.678,      -160.618,         18638,       0,    1,                                        ,                                        ,                 H2O, 1484959949.38,         0.196,         0.400,        70.814,        -0.001,         0.002,         1.672,        81.400,        41.296,         0.983,        58.761,         0.868,        -0.174,        0.0000,        0.0000,    0,        49.188,         1,       1,       2, DGK Test1,       0
